test_type,clustering,hyperparameters,label_accuracy,Silhoutte,Calinski_Harbasz,Davies_Bouldin,RAND,ARAND,MIS,AMIS,NMIS,Hmg,Cmplt,V_meas,FMs
eigenvector_3d_data,kmeans,"('elkan', 7)",0.011494252873563218,0.027833771235613376,6.881435382881626,5.037694610685485,0.4963340466682845,0.07428970170920343,0.08632624667338479,0.0976034943989681,0.1041858257859681,0.17019142769229034,0.07507094592149056,0.10418582578596812,0.5414638519935367
eigenvector_3d_data,kmeans,"('elkan', 8)",0.23946360153256704,0.027957940904794226,6.0454614544397165,3.8274269566077357,0.4983858038990741,0.06432474859205352,0.07837504590350022,0.09205667378449946,0.1001511349500335,0.1545157060775812,0.07408513402190933,0.10015113495003351,0.5497657704805472
eigenvector_3d_data,gaussianmixture,"('full', 'kmeans', 2)",0.6819923371647509,0.040612499525110375,30.722236740423394,2.3183997484429364,0.5654098734382009,-0.08560241633828082,0.017373983913227475,0.037551347509721195,0.03968805426127496,0.03425265479318831,0.04717386186465286,0.03968805426127495,0.7046421283603301
eigenvector_3d_data,gaussianmixture,"('full', 'kmeans', 3)",0.25287356321839083,0.03185805772110677,17.98065023650171,6.879904176400892,0.5672483655804855,0.1592247974004727,0.0958787690139882,0.1328705855101228,0.13523907645389646,0.18902414054451067,0.10528204741309519,0.13523907645389646,0.628949301127786
eigenvector_3d_data,gaussianmixture,"('full', 'kmeans', 4)",0.011494252873563218,0.02743829046267394,10.951984810936633,3.354222804489419,0.5546510174215515,-0.08742734728245602,0.01819174293704027,0.0317354225864309,0.03795657036340268,0.03586485943701492,0.04030737792676481,0.03795657036340268,0.6907621092799838
eigenvector_3d_data,gaussianmixture,"('full', 'kmeans', 5)",0.08620689655172414,0.030630022223516934,9.597843092286386,5.769503649383576,0.5484295600120606,0.12598508952324178,0.08057518602172616,0.10106080130279987,0.10568506508604872,0.15885326275672962,0.07918263264356673,0.10568506508604872,0.6106946441537996
eigenvector_3d_data,gaussianmixture,"('full', 'k-means++', 2)",0.28544061302681994,0.023063202141536263,11.659820227601555,6.530970314193439,0.5912884888329988,0.17032431336459405,0.07450582031946075,0.12506433276440931,0.126494697494777,0.14688756224430785,0.11107394980838557,0.12649469749477701,0.6633071763050867
eigenvector_3d_data,gaussianmixture,"('full', 'k-means++', 3)",0.7203065134099617,0.007162365174673086,6.270995756995503,6.162551041157047,0.5963994969885499,0.18714419368039975,0.08402109674529906,0.1318753459392008,0.13475708594117533,0.1656468451067643,0.11357724544280647,0.13475708594117533,0.6653434637390689
eigenvector_3d_data,gaussianmixture,"('full', 'k-means++', 4)",0.7164750957854407,0.014272754487035182,4.554228789981586,6.784159097068262,0.6128723865834197,0.22815680917977424,0.0857966893185988,0.1218252762194167,0.12575941242811148,0.1691474100762231,0.10008628271724472,0.12575941242811148,0.6767096974074228
eigenvector_3d_data,gaussianmixture,"('full', 'k-means++', 5)",0.0038314176245210726,0.004168656307986422,3.711878133438017,5.368481066342107,0.5973555129025379,0.20158924577268877,0.08524948975721969,0.11947807452797815,0.12473553695889342,0.16806861100673431,0.0991672721740525,0.1247355369588934,0.6617348813423418
eigenvector_3d_data,gaussianmixture,"('full', 'random', 2)",0.45977011494252873,0.007262357942432403,3.427737682720879,12.142706195514197,0.5022834072407174,-0.004688206650418826,0.0002865434058319516,-0.0011421641325631727,0.00048316930642852663,0.0005649177766162119,0.00042208934155113466,0.0004831693064285267,0.5859578977053936
eigenvector_3d_data,gaussianmixture,"('full', 'random', 3)",0.39272030651340994,0.009335379794690703,4.0313681117532,14.564648127232894,0.44630499849243643,0.003499804027729362,0.0011342533491316975,-0.0009990432663305735,0.0014226746498300932,0.002236170391883858,0.0010431774461574096,0.0014226746498300932,0.48026617091065693
eigenvector_3d_data,gaussianmixture,"('full', 'random', 4)",0.22796934865900384,0.01005538176438941,3.5176831969640032,13.289013865180342,0.4249049499562439,0.0131654999919547,0.012426319262404437,0.01023012072118824,0.013301682295546534,0.02449837792937254,0.00912926091595768,0.013301682295546536,0.4287165503516591
eigenvector_3d_data,gaussianmixture,"('full', 'random', 5)",0.17624521072796934,0.004104431740172311,2.8152454981462367,12.509130065273556,0.40695391267897724,0.00946693735807282,0.009550744159619581,0.005488297707938892,0.009198822056434767,0.0188292071842225,0.006086050863009412,0.009198822056434767,0.3883388674591682
eigenvector_3d_data,gaussianmixture,"('full', 'random_from_data', 2)",0.25287356321839083,0.022988839870329982,11.275430178217345,6.515446383714238,0.6214176980607585,0.22160606078531936,0.08699436826183467,0.14862414466779644,0.15003844675564115,0.17150862346289464,0.13334567033727182,0.15003844675564115,0.692079762165022
eigenvector_3d_data,gaussianmixture,"('full', 'random_from_data', 3)",0.5996168582375478,0.007436303899119965,6.073826884558319,6.79501143708088,0.6242710378655841,0.23960540294861457,0.09761696448938122,0.15070117459264443,0.15335197932389685,0.19245097746798623,0.12745731559470413,0.15335197932389685,0.6903567268443805
eigenvector_3d_data,gaussianmixture,"('full', 'random_from_data', 4)",0.09195402298850575,0.02890807018727466,11.754294751496621,7.940188580420503,0.5116670711349379,0.10701377762407756,0.1002647431242855,0.11845817242033078,0.12158421711593943,0.19767104950230577,0.08779173638550297,0.12158421711593946,0.5547683270684975
eigenvector_3d_data,gaussianmixture,"('full', 'random_from_data', 5)",0.210727969348659,0.02756523569240596,9.046265398988075,5.6359882249094895,0.5121671409976394,0.09168257531806287,0.08925723851816601,0.11064713016199738,0.11530442921370564,0.1759698520515133,0.08574420427854662,0.11530442921370562,0.5623886038253554
eigenvector_3d_data,gaussianmixture,"('tied', 'kmeans', 2)",0.6934865900383141,0.04080078233032843,31.780785623048892,2.1246807141396027,0.5740581404755076,-0.08060857034679736,0.014800385947099478,0.03252970634498758,0.03474023924804197,0.029178829287737025,0.04292084145096877,0.03474023924804197,0.7147537601277293
eigenvector_3d_data,gaussianmixture,"('tied', 'kmeans', 3)",0.6781609195402298,0.028268157052555677,16.425666463796844,4.072864093001725,0.5627330288790345,-0.08956739173089906,0.017833037325865577,0.03443211378828915,0.038867702752589016,0.035157674514241274,0.04345311030604237,0.038867702752589016,0.7021111467382172
eigenvector_3d_data,gaussianmixture,"('tied', 'kmeans', 4)",0.42337164750957856,0.028969296920187754,12.59060735754744,6.627924789501166,0.4935174767063046,0.051334365106576,0.07963248943091317,0.10181659353514547,0.1054924397338093,0.15699474481052333,0.07943401915953291,0.1054924397338093,0.5468380882254
eigenvector_3d_data,gaussianmixture,"('tied', 'kmeans', 5)",0.005747126436781609,0.02820033618989098,8.766519572581611,2.0809698580251506,0.5633728241445496,-0.08863057174836579,0.017696171877922218,0.029994137125211262,0.038550122166251914,0.03488784550064643,0.0430714557442418,0.038550122166251914,0.7027190177133343
eigenvector_3d_data,gaussianmixture,"('tied', 'k-means++', 2)",0.7931034482758621,0.00031525057706617327,0.9965840737160779,0.9995794548664632,0.6711893573366867,-0.0028320315521107213,0.0004399164543554424,-0.0020556455157245313,0.0016883109477092966,0.0008672913779670462,0.031644700833000826,0.0016883109477092966,0.8184977201151531
eigenvector_3d_data,gaussianmixture,"('tied', 'k-means++', 3)",0.7911877394636015,-0.00363126342132007,0.9967050381149923,1.0006136518818323,0.6689390429545304,-0.005626650490251564,0.0008807832426404906,-0.004015205329736484,0.0032924624396300246,0.0017364563308258163,0.03168307128276715,0.0032924624396300246,0.8163580135780714
eigenvector_3d_data,gaussianmixture,"('tied', 'k-means++', 4)",0.0038314176245210726,-0.0065055104760885964,8.051016894546272,1.886561624825816,0.5897368014649106,-0.07877100158871639,0.014264354545570653,0.02651460594262865,0.03333538255030178,0.02812204814608435,0.040921513255214724,0.03333538255030178,0.7345269684041726
eigenvector_3d_data,gaussianmixture,"('tied', 'k-means++', 5)",0.20306513409961685,0.00017459149781452418,1.00890588939315,0.9939872571352014,0.6689463969230995,0.002412050937412049,0.004354785649513389,0.0016597375155145864,0.015475011818980096,0.008585421184691498,0.07834479351280586,0.015475011818980098,0.8148352004804001
eigenvector_3d_data,gaussianmixture,"('tied', 'random', 2)",0.4789272030651341,0.002107768728018256,1.6728727714954803,17.60153111687734,0.4999301372985932,-0.00047407111288282473,8.469608740732659e-05,-0.0014668775192084036,0.00014128516420195076,0.00016697758319484624,0.00012244487980407422,0.00014128516420195078,0.5803541913691009
eigenvector_3d_data,gaussianmixture,"('tied', 'random', 3)",0.342911877394636,0.0013420919842847905,2.317466330109599,14.255845127921049,0.4423044395908252,0.00022904736556491798,0.000651332368101526,-0.00159644102844038,0.0008121693407357084,0.0012840959719794649,0.0005939008854952474,0.0008121693407357084,0.47391483466586337
eigenvector_3d_data,gaussianmixture,"('tied', 'random', 4)",0.22988505747126436,0.010353903476460778,3.410599124837923,13.198850095727023,0.42333855465101744,0.009927223625183328,0.0038389246931297694,0.0010095879080820598,0.004110444261835491,0.007568405896284354,0.002821374355690032,0.00411044426183549,0.427200400704946
eigenvector_3d_data,gaussianmixture,"('tied', 'random', 5)",0.1685823754789272,0.01012921607513132,3.127193680670351,12.11170307268806,0.40945426199248425,0.01039636940960866,0.006949910138136825,0.002988363205381195,0.006727024910571832,0.013701686037825879,0.004457827224383068,0.006727024910571831,0.39391092523630267
eigenvector_3d_data,gaussianmixture,"('tied', 'random_from_data', 2)",0.7931034482758621,0.003592551385172677,1.0092378596192362,0.9932924320109492,0.6711893573366867,-0.0028320315521107213,0.0004399164543554424,-0.0020556455157245313,0.0016883109477092966,0.0008672913779670462,0.031644700833000826,0.0016883109477092966,0.8184977201151531
eigenvector_3d_data,gaussianmixture,"('tied', 'random_from_data', 3)",0.20689655172413793,0.0017180239349742965,1.0029724005982505,0.9964854671791116,0.6689390429545304,-0.005626650490251564,0.0008807832426404906,-0.004015205329736482,0.0032924624396300246,0.0017364563308258163,0.03168307128276715,0.0032924624396300246,0.8163580135780714
eigenvector_3d_data,gaussianmixture,"('tied', 'random_from_data', 4)",0.20689655172413793,0.0010877818587523719,1.0060890829093978,0.9951704244777273,0.6666960825409433,-0.008384371971344036,0.0013226044979052134,-0.005885047424062735,0.004818894261736898,0.0026075030068477695,0.031721556391673074,0.004818894261736898,0.8142190667169418
